Expert_id	expert_name
1	a balasubramanian
2	a c choksi
3	a rajagopal
4	aadil ebrahim
5	aakansha sethi
6	aakash prakash
7	aashiesh agarwaal
8	aashish agarwal
9	aashish tater
10	aastha maheshwari
11	abby joseph cohen
12	abhay laijawala
13	abhijeet kundu
14	abhijit paul
15	abhinav sharma
16	abhineet anand
17	abhisar jain
18	abhishek agarwal
19	abhishek anand
20	abhishek goenka
21	abhishek karande
22	abhishek kothari
23	abhishek ranganathan
24	abhishek sharma
25	abhishek shindadkar
26	abhishek singhal
27	abneesh roy
28	achiievers
29	adarsh parasrampuria
30	adhidev chattopadhyay
31	aditya agarwal
32	aditya birla money
33	aditya narain
34	adrian foster
35	adrian mowat
36	agam gupta
37	ajay argal
38	ajay bagga
39	ajay bodke
40	ajay jain
41	ajay shethia
42	ajay shethiya
43	ajay srivastava
44	ajcon global
45	ak prabhakar
46	ak purwar
47	akash prakash
48	akshata deshmukh
49	alaistair chan
50	alastair newton
51	alok ramachandran
52	alok sama
53	alroy lobo
54	amar ambani
55	amay hattangadi
56	ambareesh baliga
57	amber dubey
58	ambrish mishra
59	amish shah
60	amisha vora
61	amit chandra
62	amit dalal
63	amit gupta
64	amit harchekar
65	amit kasat
66	amit khurana
67	amit mahawar
68	amit rathi
69	amit rustagi
70	amit tripathi
71	amit trivedi
72	amnish aggarwal
73	amol rao
74	anand bagaria
75	anand mour
76	anand tandon
77	ananda bhoumik
78	anandrathi
79	andre de silva
80	andrew economos
81	andrew freris
82	andrew holland
83	andrew lill
84	anezka christovova
85	angel broking
86	angel commodities
87	anil agarwal
88	anil jindal
89	anil manghnani
90	anil singhvi
91	animesh das
92	aniruddha mehta
93	anirudh dutta
94	anirudha dutta
95	anish damania
96	anisha damania
97	ankit pande
98	ankur kulshrestha
99	ankur rudra
100	anmol ganjoo
101	anshu jain
102	anshu sharma
103	anshul bhargava
104	antique stock
105	anu jain
106	anuj singhal
107	anup bagchi
108	anup maheshwari
109	appaji reddem
110	apurva shah
111	archana shukla
112	arihant capital
113	arindam ghosh
114	arjun divecha
115	arjuna mahendran
116	arnab das
117	arshad zakaria
118	arun aggarwal
119	arun baid
120	arunoday mukherjee
121	arvind bothra
122	arvind narayanan
123	arvind sanger
124	ashish chaturmohta
125	ashish chauhan
126	ashish chugh
127	ashish jagnani
129	ashish kapur
130	ashish kejriwal
131	ashish kyal
132	ashish nigam
133	ashmit kumar
134	ashok motiani
135	ashok wadhwa
136	ashu madan
137	ashwani gujral
138	ashwin mehta
139	ashwin patil
140	asit c. mehta
141	atul badkar
142	atul kumar
143	atul mehra
144	atul suri
145	austin forey
146	avinash gupta
147	avinash persaud
148	aviral gupta
149	axis securities
150	ayaz ebrahim
151	b krishnakumar
152	basant maheshwari
153	basudeb banerjee
154	ben cavander
155	benjamin cavender
156	benoit anne
157	bertrand d'souza
158	bhanu baweja
159	bharat gianani
160	bharat iyer
161	bharat rawla
162	bhaskar chakraborty
163	bhavesh gandhi
164	bhavin desai
165	bhavin shah
166	bhuvnesh singh
167	bill gross
168	bill maldona
169	bill o'neill
170	binay chandgothia
171	bino pathiparampil
172	bobby parikh
173	bonanza
174	bp equities
175	bp singh
176	brad durham
177	brian jacobsen
178	brijen puri
179	bruno verstraete
180	bruno verstrate
181	ca rudramurthy bv
182	callum henderson
183	cameron brandt
184	care equity research
185	care ratings
186	cd equisearch
187	chandan taparia
188	chintan j mehta
189	chirag negandhi
190	chirag talati
191	choice equity broking
192	chris hohn
193	chris main
194	chris roberts
195	chris turner
196	chris wood
197	christoph rubeli
198	christopher wood
199	christy tan
200	ck narayan
201	claudio piron
202	clive mcdonnell
203	crisil
204	crisil ratings
205	crisil research
206	daljeet  kohli
207	dani investment services
208	danny suwanapruti
209	darpin shah
210	darryl guppy
211	daryl guppy
212	david buick
213	david kelly
214	david lennox
215	david pezarkar
216	david yarrow
217	dayanand mittal
218	deborah fuhr
219	deborah yang
220	deena mehta
221	deep mukherjee
222	deepak purswani
223	deepak shenoy
224	deepesh pandey
225	dennis m nally
226	dennis nally
227	dennis tan
228	devang mehta
229	devangshu datta
230	deven choksey
231	devesh kumar
232	devesh kumar,
233	devika ghosh
234	dhananjay sinha
235	dharmesh dalal
236	dharmesh kant
237	dharmesh mehta
238	dhawal dalal
239	dhiraj agarwal
240	dhiraj sachdev
241	dhiren sarin
242	dhiren shah
243	dhirendra tiwari
244	dhruva chatterji
245	dhvani modi
246	digant haria
247	dilip bang
248	dilip bhat
249	dinesh kumar
250	dinesh thakkar
251	dipan mehta
252	dipankar choudhury
253	dipen shah
254	dipen sheth
255	dipesh mehta
256	dolat capital
257	dominic bunning
258	don baer
259	durgesh shah
260	east india securities ltd
261	eastern financiers
262	edelweiss
263	ekta batra
264	elan dutta
265	emkay commodity research
266	emkay global financial services
267	enzio von pfeil
268	eric chaney
269	erwin sanft
270	ethan harris
271	ewen cameron
272	ewen cameron watt
273	fairwealth securities
274	fan cheukwan
275	farah bookwala
276	farah bookwala vhora
277	farhan a mumtaz
278	finquest securities
279	firstcall research
280	fitch ratings
281	fortune financial services
282	frances dydasco
283	g chokkalingam
284	gagan dixit
285	ganeshram jayaraman
286	garry evans
287	gaurang kakkad
288	gaurang kakkad,
289	gaurang shah
290	gaurav bissa
291	gaurav doshi
292	gaurav mehta
293	gaurav pathak
294	gaurav ratnaparkhi
295	gautam broker
296	gautam chhaochharia
297	gautam shah
298	gautam sinha roy
299	gautam trivedi
300	geoff lewis
301	geojit bnp paribas
302	george hoguet
303	george soros
304	gepl capital
305	gerard lyons
306	gerard minack
307	giles keating
308	giriraj daga
309	girish nadkarni
310	girish pai
311	gokul laroia
312	gopi suvanam
313	gopika gopakumar
314	gopika gopukumar
315	govind agarwal
316	govind parikh
317	govindarajan chellappa
318	grace tam
319	grant kennaway
320	greg gibbs
321	gulpreet kohli
322	guy foster
323	guy stear
324	gv giri
325	gv giri,
326	h nemkumar
327	hans goetti
328	hans rademaker
329	hardik ruparel
330	harendra kumar
331	harit shah
332	harsha upadhyaya
333	harshavardhan dole
334	hartmut issel
335	hatim broachwala
336	haywood kelly
337	hdfc securities
338	hedge equities
339	hem securities
340	hemang jani
341	hemant kanawala
342	hemant thukral
343	hemen kapadia
344	hemindra hazari
345	henry mcvey
346	herald van der linde
347	himanshu nayyar
348	hiren ved
349	hitendra dave
350	hitendra vasudeo
351	hitesh goel
352	hitesh mahida
353	hitesh shah
354	hugh young
355	i. v. subramaniam
356	ian hui
357	icicidirect.com
358	icra
359	ifci financial
360	iifl
361	imran zaheer ahmad
362	inderjeet singh bhatia
363	india forex advisors
364	india ratings
365	indira securities
366	indranil sengupta
367	ishaq siddiqi
368	ismael pili
369	iv subramaniam
370	j kishore kumar
371	jagannadham thunuguntla
372	jagannadham thununguntla
373	jagdish malkani
374	jai bala
375	jaideep goswami
376	jal irani
377	jamal mecklai
378	james glassman
379	james roy
380	jamie fahy
381	jan hatzius
382	jan lambregts
383	jason hughes
384	jason todd
385	jaspreet singh arora
386	jay thakkar
387	jayant manglik
388	jayesh gandhi
389	jayesh mehta
390	jeff chowdhry
391	jens yahya zimmermann
392	jerome booth
393	jigar shah
394	jignesh kamani
395	jignesh shial
396	jim o'neill
397	jim reid
398	jim rogers
399	jinesh gandhi
400	jitender kumar
401	jitendra panda
402	jitendra sriram
403	jk jain
404	joe bell
405	johanna chua
406	john bollinger
407	john davies
408	john praveen
409	john woods
410	john-paul smith
411	jonathan barratt
412	jonathan garner
413	jonathan schiessel
414	jonathan schiessl
415	jordan kotick
416	joshua raymond
417	joyce chang
418	jude sannith
419	juerg kiener
420	julie dickson
421	justin harper
422	jyotivardhan jaipuria
423	k subramanayam
424	kajal gandhi
425	kaku nakhate
426	kalpana morparia
427	kalpesh makwana
428	kalyan reddy
429	kamlesh kotak
430	kapil singh
431	karan mittal
432	karan uberoi
433	karin finkelston
434	karthik rangappa
435	karun mutha
436	karvy stock broking
437	katalin gingold
438	kawaljeet saluja
439	kenneth andrade
440	khambatta securities
441	khoon goh
442	kiran jadhav
443	kirti doshi
444	kishore narne
445	kotak securities
446	kr bharat
447	krchoksey
448	krish subramanium
449	krish subramanyam
450	krishna kumar
451	krishna kumar karwa
452	kritika saxena
453	kumar rachapudi
454	kunal bajaj
455	kunal bothra
456	kunal saraogi
457	kunal shah
458	kunal sheth
459	kunj bansal
460	lakshmikant reddy
461	lalit nambiar
462	lalit thakkar
463	lancelot d cunha
464	latha venkatesh
465	laura acres
466	laurence balanco
467	lawrence leibowitz
468	lkp
469	lokesh garg
470	louise cooper
471	louise yamada
472	luke spajic
473	lyn graham-taylor
474	madhu babu
475	madhusudan kela
476	magnum
477	magnus bocker
478	mahantesh sabarad
479	mahesh nandurkar
480	mahesh patil
481	mahesh uppal
482	malcolm wood
483	malvika jain
484	manas jaiswal
485	manasvi ghelani
486	manav chopra
487	mangal keshav
488	mangalam maloo
489	mangesh bhadang
490	manish agarwal
491	manish agarwalla
492	manish chokhani
493	manish chokhani,
494	manish chowdhary
495	manish hathiramani
496	manish hemrajani
497	manish jain
498	manish kumar
499	manish ostwal
500	manish prasad
501	manish shah
502	manish sharma
503	manish singh
504	manish sonthalia
505	manish wadhwan
506	manishi raychaudhuri
507	manoj behera of phillipcapital
508	manoj garg
509	manoj ladwa
510	manoj menon
511	manoj menon
512	manoj murlidharan
513	manoj rane
